,time,lon,lat,no2,o3,so2,pm2.5,pm10,co
67010,35,28.75,51.75,1.0881063143412273,60.8639882405599,0.2313231428464253,3.11520258585612,3.8509095509847007,161.04200236002603
67011,36,28.75,51.75,1.0042885144551594,68.51341247558594,1.8408335049947104,4.95421028137207,6.202634811401367,161.49417114257812
67012,37,28.75,51.75,1.3437093098958333,72.37527465820312,0.8935616811116537,5.311496734619141,6.098168690999349,177.7566121419271
67013,38,28.75,51.75,1.5658963521321614,62.83361307779948,0.6993303298950195,5.005409240722656,5.653138478597005,173.7071329752604
67014,39,28.75,51.75,3.0491549173990884,63.08271280924479,1.5539058049519856,8.166833877563477,9.86357307434082,194.96728515625
67015,40,28.75,51.75,2.516418139139811,57.467305501302086,1.1155850092569988,8.048853556315104,9.91512680053711,189.61041259765625
67016,41,28.75,51.75,1.3859562873840332,71.66570536295573,1.2940128644307454,8.605246861775717,11.121227264404297,185.5198974609375
67017,42,28.75,51.75,1.1364866892496746,73.62763977050781,0.9658411343892416,8.654352823893229,10.92847188313802,177.6528116861979
67018,43,28.75,51.75,1.2970991134643557,68.71084086100261,0.7878901163736979,9.201301574707031,10.79611078898112,171.8240966796875
67019,44,28.75,51.75,2.052158037821452,51.8171641031901,0.8712131182352701,13.13023885091146,17.471397399902344,179.7254842122396
67020,45,28.75,51.75,2.62252410252889,57.04649861653646,1.577456792195638,13.197335561116535,15.023242950439451,187.7961222330729
67021,46,28.75,51.75,2.481173833211263,54.27433776855469,2.321684996287028,11.228402455647789,11.675662994384766,186.3355916341146
67022,47,28.75,51.75,2.291146914164225,45.251983642578125,0.2963953018188476,5.272782643636067,5.91482416788737,202.13006591796875
67023,48,28.75,51.75,1.746471087137858,53.80488586425781,0.6378910144170126,5.861503601074219,6.551580429077148,187.28511555989584
67024,49,28.75,51.75,1.3199267387390137,67.02079264322917,0.8040633996327718,6.484139124552409,7.399969100952148,181.9083455403646
67025,50,28.75,51.75,2.108620007832845,58.75848388671875,1.7924373944600422,8.564701716105143,9.480122884114584,205.94024658203125
67026,51,28.75,51.75,2.411285877227783,56.293060302734375,1.771018346150716,6.137331644694011,6.751484553019206,185.13838704427084
67027,52,28.75,51.75,0.91160519917806,61.930582682291664,0.5122231642405192,6.909950256347656,7.392280578613281,184.6861775716146
67028,53,28.75,51.75,1.368106206258138,76.57394409179688,2.373736540476481,11.617801666259766,13.503069559733072,231.84273274739584
67029,54,28.75,51.75,1.1841236750284831,70.08206685384114,1.0472870667775471,4.227312405904134,5.93802007039388,164.37508138020834
67030,55,28.75,51.75,0.8931980133056641,67.5770263671875,0.6705960432688395,2.408920288085937,3.272150675455729,138.92486572265625
67031,56,28.75,51.75,0.8446025053660074,65.52213541666667,0.5091595649719238,2.5338648160298667,3.322502772013346,148.4075927734375
67032,57,28.75,51.75,0.904493808746338,61.58873494466146,0.5762460629145304,2.7549756368001304,3.5656185150146484,151.48042805989584
67033,58,28.75,51.75,1.0763526757558186,64.89560953776042,0.7013870080312093,3.288329760233561,3.9556328455607095,160.9730224609375
67034,59,28.75,51.75,1.0562584400177002,65.01432291666667,0.6345452467600504,5.616705576578776,7.125817616780599,170.3578898111979
67035,60,28.75,51.75,1.101549704869588,75.54035949707031,1.890358289082845,8.930387496948242,11.44900639851888,167.85586547851562
67036,61,28.75,51.75,1.1722931067148843,66.91846720377605,1.0738875071207683,11.071392059326172,13.256551106770834,182.5738728841146
67037,62,28.75,51.75,1.2465811570485432,77.95199584960938,1.071457306543986,10.940200805664062,12.415701548258465,198.32784016927084
67038,63,28.75,51.75,1.0031108856201172,73.86874389648438,0.766828695933024,8.421145757039389,9.750800450642904,143.54105631510416
67039,64,28.75,51.75,1.2314305305480957,76.96761067708333,0.7582562764485677,2.5588804880777998,2.807788530985514,169.3530476888021
67040,65,28.75,51.75,1.1645509401957197,79.00909423828125,1.0070331891377766,4.614210446675618,5.019596417744954,158.46843465169272
67041,66,28.75,51.75,1.1529111862182615,84.11829630533855,1.0337483882904053,5.961203893025716,6.925919850667317,157.00733439127603
67042,67,28.75,51.75,1.121714433034261,80.07061258951823,1.1042462984720869,3.958272933959961,4.563590049743652,161.6417439778646
67043,68,28.75,51.75,1.3389196395874023,68.26765441894531,1.2594745953877766,4.931055386861165,5.707970301310222,148.53955078125
67044,69,28.75,51.75,1.33549960454305,65.69344075520833,0.4547292788823445,3.254330317179362,3.777329762776693,164.98690795898438
67045,70,28.75,51.75,1.125340461730957,66.15791829427083,0.3710714975992839,2.902464230855306,3.470752398173014,151.23220825195312
67046,71,28.75,51.75,0.9384895165761312,73.68661499023438,0.3328609069188435,3.5607163111368814,4.012531598409017,144.55362955729166
67047,72,28.75,51.75,1.4202589988708496,75.65562438964844,0.7714166641235352,3.9539225896199546,5.351463953653972,144.08165486653647
67048,73,28.75,51.75,1.0311938921610515,71.63497924804688,0.614155650138855,5.128759384155273,6.073846817016602,147.2579345703125
67049,74,28.75,51.75,1.0850501855214436,70.8243408203125,0.7026897271474203,5.029407183329265,6.03799565633138,145.89373779296875
67050,75,28.75,51.75,0.8896265029907227,72.71436564127605,0.8620462417602539,5.838858286539714,8.05987294514974,139.9767862955729
67051,76,28.75,51.75,1.231098969777425,65.87471008300781,1.0412480036417644,7.081620534261067,7.529069264729817,185.2248942057292
67052,77,28.75,51.75,1.0618887742360432,75.21872456868489,0.6358287334442139,7.845306396484375,8.742384592692057,168.42132568359375
67053,78,28.75,51.75,1.3782202402750652,67.28973897298177,0.4906694094340006,6.217664082845052,7.107706069946289,169.8720703125
67054,79,28.75,51.75,1.2493530909220378,70.59138997395833,0.3765420913696289,4.862801869710286,5.023976643880208,150.34368896484375
67055,80,28.75,51.75,1.065018653869629,64.63028971354167,0.2324214577674865,3.759731610616048,3.6940860748291016,153.08963012695312
67056,81,28.75,51.75,0.8741496404012045,70.9048563639323,0.404985507329305,4.363094647725423,4.482901891072591,143.99544270833334
67057,82,28.75,51.75,0.826589822769165,70.73144022623698,0.3666195074717204,3.58443291982015,4.53300666809082,143.39501953125
67058,83,28.75,51.75,0.8824618657430013,81.77825927734375,0.8447560469309489,5.665213902791341,6.743605295817058,143.4964396158854
67059,84,28.75,51.75,1.0963415304819744,72.08977762858073,1.2716444333394368,4.524954477945964,5.694949467976888,153.22891235351562
67060,85,28.75,51.75,1.0823699633280437,66.56730651855469,0.606805165608724,5.305988311767578,6.316878000895183,146.7344970703125
67061,86,28.75,51.75,1.2528729438781738,72.4861348470052,0.5961483319600424,4.700429916381836,5.672161102294922,138.6164754231771
67062,87,28.75,51.75,1.315394401550293,70.33730061848958,0.9890358448028564,4.152703603108724,4.790836652119954,139.0683390299479
67063,88,28.75,51.75,1.2633423805236816,68.23590596516927,0.4149986505508423,4.200482686360677,4.785717964172363,137.92011515299478
67064,89,28.75,51.75,1.2280430793762207,67.99668375651042,0.4543145895004272,5.094770113627116,5.593327840169271,138.12201944986978
67065,90,28.75,51.75,0.963725487391154,66.27606709798177,0.2741440534591675,4.643037478129069,4.982079188028972,145.71574910481772
67066,91,28.75,51.75,1.2824715773264568,61.954620361328125,0.9381415049235026,4.485010464986165,4.830663363138835,139.44574991861978
67067,92,28.75,51.75,1.608747482299805,60.219970703125,1.8991101582845047,4.268011728922526,5.248606363932292,119.543701171875
67436,1,28.75,51.25,2.252286434173584,52.6688232421875,0.3736294110616048,3.8049341837565103,4.302536646525065,166.61201985677084
67437,2,28.75,51.25,2.6830526987711587,56.19878641764323,0.7927881081899008,9.127543131510416,11.80029805501302,180.11600748697916
67438,3,28.75,51.25,1.818960666656494,61.68378702799479,0.7303977012634277,5.122279485066732,6.601654052734375,166.8943074544271
67439,4,28.75,51.25,5.964611053466797,44.099853515625,4.492576599121094,24.3961919148763,27.755399068196613,282.2958374023437
67440,5,28.75,51.25,2.9615987141927085,56.15858968098959,0.8673981030782064,6.690603256225586,8.24671745300293,185.88492838541663
67441,6,28.75,51.25,1.4357751210530598,74.77695210774739,0.9474867979685464,3.586709976196289,4.074496587117513,172.80810546875
67442,7,28.75,51.25,2.878773053487142,66.4742431640625,2.0833257039388022,8.38274065653483,11.47711181640625,186.8620808919271
67443,8,28.75,51.25,1.3949518203735352,69.77183024088542,0.6485834916432699,3.5101451873779297,4.5349836349487305,156.36136881510416
67444,9,28.75,51.25,1.6149215698242188,70.59490458170573,0.6641218662261963,3.997190475463867,5.314338684082031,176.0366414388021
67445,10,28.75,51.25,1.8759271303812664,70.28071594238281,0.8470842043558756,5.710791269938151,8.121148427327475,170.9072265625
67446,11,28.75,51.25,1.8888912200927732,70.27581787109375,2.4160598119099936,9.161450703938804,11.151040395100912,181.40743001302084
67447,12,28.75,51.25,3.189607302347819,63.713623046875,2.974292755126953,10.628089904785156,11.4543825785319,216.5717976888021
67448,13,28.75,51.25,3.74345588684082,55.25273132324219,1.8697067896525064,12.30573272705078,14.498175303141275,222.7208251953125
67449,14,28.75,51.25,2.322150548299154,65.37448120117188,0.8278546333312988,13.689895629882812,15.563461303710938,202.21818033854169
67450,15,28.75,51.25,2.6781298319498696,51.12737019856771,1.4122355779012044,10.607599258422852,12.2358029683431,216.9764404296875
67451,16,28.75,51.25,2.3929012616475425,46.63958231608073,1.4337072372436523,14.157325744628906,16.70776112874349,222.5926513671875
67452,17,28.75,51.25,1.9371601740519209,59.012237548828125,1.1675223509470622,12.835371653238932,14.80771509806315,181.95111083984372
67453,18,28.75,51.25,2.156849225362142,55.46571858723959,0.4119893709818522,6.53936767578125,6.615044275919597,203.7502237955729
67454,19,28.75,51.25,2.085302193959554,59.33226013183594,0.8400758107503256,6.629688262939453,7.861772537231445,194.51558430989584
67455,20,28.75,51.25,1.2786277135213215,66.24195353190105,0.6353985071182251,5.517177581787109,6.036171595255534,182.08809407552084
67456,21,28.75,51.25,2.6371374130249023,66.87094116210938,2.685993830362956,11.40924326578776,12.974853515625,209.94620768229169
67457,22,28.75,51.25,1.532248814900716,70.09202067057292,0.9069987932840984,5.665709177652995,6.472475687662761,187.1418253580729
67458,23,28.75,51.25,1.4327418009440105,74.76510620117188,0.92837921778361,3.4267800649007163,4.593190828959147,162.16752115885416
67459,24,28.75,51.25,2.0746383666992188,70.43960571289062,1.5191609064737956,4.462577819824219,5.18766721089681,161.53225708007812
67460,25,28.75,51.25,1.7213002840677898,68.97383117675781,1.031540870666504,5.32956059773763,6.669409434000651,163.53178914388022
67461,26,28.75,51.25,2.001966635386149,56.86578877766927,1.4957496325174968,15.358956654866535,17.579827626546223,190.1528523763021
67462,27,28.75,51.25,1.5008325576782229,65.1791280110677,1.2661888599395752,17.739762624104817,19.971968332926437,197.55033365885416
67463,28,28.75,51.25,2.505873362223307,58.623291015625,0.9322570164998372,14.816338857014976,15.907517751057943,234.24125162760416
