,time,lon,lat,no2,o3,so2,pm2.5,pm10,co,tmax,tmin,hum,opady,tysk,wind
41303,88,26.75,51.75,1.5682090123494463,73.91275024414062,0.921032985051473,5.515093485514323,7.036304473876953,139.1852010091146,20.86,8.65,71.58,0.25,99.79,2.05
41304,89,26.75,51.75,1.7831284205118816,72.14182535807292,1.113207419713338,5.544879913330078,6.317795435587565,140.1761678059896,18.78,10.9,81.04,0.93,99.77,2.49
41305,90,26.75,51.75,1.3629937171936035,72.78914388020833,0.8417658805847168,6.126091003417969,6.926072438557942,149.5162353515625,17.5,9.07,77.62,0.9,99.69,2.7
41306,91,26.75,51.75,1.3678011894226074,60.18713887532552,0.2960820992787679,3.4371550877889,3.595442454020182,143.10372924804688,14.9,8.64,88.86,7.7,99.86,3.09
41307,92,26.75,51.75,1.4099335670471191,55.81363932291666,0.2545340855916341,2.563945452372233,3.0637989044189453,120.54637654622395,15.58,7.26,76.85,0.54,100.15,2.01
41676,1,26.75,51.25,2.473761558532715,53.02411905924479,0.5814454555511475,4.391913731892903,5.658270517985026,174.43025716145834,3.44,-0.91,93.8,0.61,100.89,2.62
41677,2,26.75,51.25,4.301874160766602,53.31462097167969,1.4141933123270671,12.278734842936196,14.790271759033203,193.9900919596354,5.5,-0.46,92.99,0.28,100.69,4.6
41678,3,26.75,51.25,3.753446261088053,52.99826049804688,1.5508945782979329,8.860242207845053,10.68773905436198,187.5977986653646,5.26,-2.24,90.92,0.1,100.63,2.6
41679,4,26.75,51.25,7.866467793782552,43.52745564778646,5.109717686971028,28.89647420247396,34.02633412679037,291.37266031901044,6.65,-0.86,95.88,0.48,99.16,3.97
41680,5,26.75,51.25,2.4805967013041177,60.79571533203125,0.8247257868448893,5.747641245524089,7.467199961344401,181.44677734375,1.66,-4.86,87.41,1.34,99.44,2.49
41681,6,26.75,51.25,2.6026546160380044,68.70130920410156,1.3931509653727214,4.588222503662109,5.598307927449544,182.74898274739584,-0.05,-5.57,84.78,0.21,100.34,3.28
41682,7,26.75,51.25,3.579508145650228,65.69118754069011,2.3685824076334634,9.21856689453125,12.707478841145834,198.927001953125,3.47,-3.77,85.85,0.47,99.41,6.47
41683,8,26.75,51.25,2.073437213897705,71.9462890625,0.9233124256134032,4.290711720784505,5.389572779337565,161.34022013346353,1.15,-3.66,81.72,0.54,99.22,4.25
41684,9,26.75,51.25,2.054200808207194,70.32137552897136,0.8470842838287354,4.806830088297526,5.842343012491862,182.0414428710937,-1.49,-7.38,82.93,0.06,100.02,1.9
41685,10,26.75,51.25,1.4769515991210938,68.35353597005208,0.9086491266886392,8.154108683268229,10.053151448567707,184.6278279622396,0.22,-8.59,81.46,0.1,100.23,1.99
41686,11,26.75,51.25,1.6486520767211914,71.5176289876302,1.7943442662556963,12.086009979248049,14.18301010131836,192.4739990234375,1.36,-5.92,80.49,0.74,99.93,4.02
41687,12,26.75,51.25,4.931397755940755,60.807393391927086,1.999447186787923,11.869059244791666,13.470158894856771,218.7225952148437,1.24,-2.95,94.23,10.07,98.56,4.72
41688,13,26.75,51.25,4.757612864176433,59.08074951171875,2.5531771977742515,11.686475118001304,13.66308339436849,220.9954427083333,7.4,-1.78,91.08,0.59,98.85,3.84
41689,14,26.75,51.25,3.0619398752848306,68.65844217936198,2.3071254094441733,9.644699732462565,11.086509704589844,203.6745808919271,3.33,0.62,96.08,6.35,98.42,3.81
41690,15,26.75,51.25,3.163110415140788,52.7662353515625,1.4000345865885415,8.225309371948242,10.528581619262695,214.9676310221354,6.44,-0.69,90.12,1.74,98.69,1.99
41691,16,26.75,51.25,1.933480262756348,51.45313517252604,0.650139570236206,4.451475143432617,5.357142766316732,205.14497884114584,2.28,-0.54,96.19,12.13,98.52,3.27
41692,17,26.75,51.25,3.00354798634847,48.88153076171875,0.3642372290293376,5.257303873697917,3.910250981648763,210.9485270182292,2.2,-1.22,95.49,4.7,98.74,3.54
41693,18,26.75,51.25,1.9276305834452312,61.6375478108724,0.5379544099171957,6.064210891723633,6.718125661214192,190.2064412434896,3.17,-2.94,89.95,0.53,99.21,3.31
41694,19,26.75,51.25,4.148411115010579,58.09735616048177,1.912065823872884,8.664457321166992,10.466330846150717,208.32954915364584,2.01,-3.52,82.79,0.46,99.38,1.43
41695,20,26.75,51.25,2.759702682495117,61.33926900227865,0.957322915395101,8.27691396077474,9.5348695119222,207.94561767578125,2.39,-3.95,81.19,0.55,99.81,1.89
41696,21,26.75,51.25,3.2285801569620767,65.15085347493489,2.629917621612549,11.016644795735678,12.46361287434896,226.53926595052084,2.39,-4.6,80.1,0.58,99.12,4.25
41697,22,26.75,51.25,2.757667859395345,68.70506795247395,0.9498279094696044,5.002439816792806,5.653553644816081,189.1630859375,2.71,-3.07,82.0,2.18,98.78,3.26
41698,23,26.75,51.25,1.2258559862772624,78.4708251953125,0.6674880981445312,3.537525494893392,4.72446854909261,162.58202107747397,3.1,-3.44,79.97,0.6,99.35,2.95
41699,24,26.75,51.25,1.524402936299642,73.78346761067708,0.5909830331802368,3.732599258422852,5.7740122477213545,162.672119140625,4.51,-3.64,80.87,0.01,99.99,2.3
41700,25,26.75,51.25,2.9674739837646484,69.56592814127605,0.9011964797973632,8.570948282877604,10.205987294514976,183.360107421875,7.99,-2.61,77.49,0.0,99.92,1.55
41701,26,26.75,51.25,3.617519378662109,58.01485697428385,1.2662828763326008,16.40102767944336,18.148882548014324,200.3123779296875,9.0,-1.22,83.72,0.07,100.19,1.27
41702,27,26.75,51.25,1.9819706281026204,65.84471130371094,0.8229416211446127,18.09948221842448,21.089510599772137,194.79585774739584,11.6,-1.07,84.45,0.0,100.25,2.22
41703,28,26.75,51.25,3.3817971547444663,56.18835957845052,1.1448974609375,12.574869791666666,13.400697072347006,225.9010009765625,5.99,1.05,94.84,7.87,100.39,3.04
41704,29,26.75,51.25,2.2087720235188804,63.09617106119792,1.1126059691111247,10.376096725463867,12.92604955037435,196.15936279296875,10.55,-1.19,77.92,0.11,100.92,2.1
